 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
90,75.17,64.26,81.84,141.90,259.56,413.12,422.24,402.82,434.98,453.20,356.67,366.38,493.26,594.65,766.51,691.82,622.57,667.51,587.97,424.68,248.09,271.72,223.18,210.42,201.95
91,75.78,73.36,78.21,150.37,226.82,383.38,422.84,401.60,441.03,397.95,351.24,390.04,484.16,617.73,739.80,682.09,560.65,680.88,594.67,449.56,248.11,243.19,241.97,202.53,191.02
92,83.06,83.06,75.78,152.19,246.84,410.67,424.07,420.40,417.37,441.66,382.17,368.81,480.52,631.08,758.01,716.10,563.10,688.17,599.52,476.88,224.40,253.51,232.29,186.18,177.08
93,81.84,68.51,87.91,154.03,237.12,397.95,429.53,411.31,459.24,421.01,359.72,357.28,498.73,616.51,779.75,713.05,572.77,708.23,570.96,494.52,240.79,247.43,231.07,204.36,188.00
94,80.04,66.08,93.38,138.25,251.70,404.64,431.93,430.11,431.95,421.64,373.66,372.46,502.99,619.54,768.33,670.56,628.66,650.53,597.08,489.04,242.02,240.78,229.24,197.69,195.89
95,85.49,81.85,86.70,150.99,257.16,408.25,402.82,422.26,427.70,426.48,357.28,371.85,464.71,615.28,741.00,719.13,601.94,650.51,602.54,483.56,240.19,251.10,235.94,205.59,174.66
96,93.97,66.08,101.85,150.40,251.70,403.42,425.26,416.16,425.87,421.04,366.37,392.51,510.25,631.71,833.34,662.66,575.21,666.30,598.30,472.63,254.16,268.68,220.75,215.29,176.48
97,75.78,77.60,93.97,164.93,245.63,427.69,451.98,406.46,477.48,422.25,366.39,371.85,476.25,624.42,753.79,726.42,598.89,632.93,580.09,447.15,277.22,258.37,247.44,228.03,185.59
98,76.38,84.27,86.71,155.25,274.14,410.10,425.27,415.57,439.84,427.09,349.40,362.13,486.59,607.41,789.00,713.67,560.05,672.40,563.69,440.47,235.95,274.13,217.73,217.72,204.38
99,73.98,70.92,93.35,149.17,232.88,403.42,442.28,398.54,442.26,438.65,363.37,365.81,484.77,617.72,767.72,733.72,570.98,696.04,583.13,479.92,240.19,297.20,237.74,203.76,213.49
100,75.18,66.68,84.87,159.49,266.87,427.69,444.09,419.82,445.30,435.59,351.82,391.26,495.05,611.68,768.34,670.56,581.92,663.27,576.44,473.25,257.78,233.48,229.24,211.64,200.75
101,71.54,75.17,87.31,146.14,263.82,386.42,436.19,415.58,428.32,430.74,356.67,398.55,509.05,657.18,753.76,692.39,555.20,705.79,624.39,477.50,212.89,271.08,221.97,237.74,212.88
102,80.63,74.58,86.09,134.00,252.87,421.02,407.68,390.08,459.26,425.28,377.91,357.91,522.38,642.62,774.91,694.87,580.69,691.79,581.30,444.09,231.09,286.28,235.92,204.96,177.68
103,92.15,57.60,91.55,149.17,240.78,391.27,433.76,388.24,412.52,428.31,362.74,373.06,481.11,593.44,745.25,711.24,561.87,675.43,586.76,484.17,224.42,286.28,260.78,209.23,205.60
104,71.54,73.96,86.70,132.18,238.36,399.76,425.88,433.78,436.18,444.70,369.43,366.99,489.00,647.49,736.77,703.33,598.30,665.08,536.39,472.02,224.42,243.19,246.22,221.35,206.21
105,74.57,58.80,70.93,141.29,258.99,414.33,410.70,403.40,465.85,423.46,346.37,396.13,506.62,606.79,742.83,706.98,601.33,659.02,595.25,459.88,234.13,269.29,252.30,204.36,198.30
106,92.17,60.01,82.45,158.89,248.04,374.25,419.19,410.71,419.80,398.58,359.72,399.16,488.99,587.36,801.72,684.52,566.70,691.81,573.39,464.14,226.23,268.07,208.01,199.51,171.02
107,67.31,68.50,92.76,161.32,248.67,425.25,420.42,413.76,424.65,401.59,380.95,389.45,476.89,637.78,758.01,679.64,601.34,680.27,562.47,462.91,226.85,253.50,246.23,210.43,205.00
108,73.97,58.81,78.82,143.71,246.22,377.31,431.95,395.53,449.57,421.62,363.36,382.77,490.22,636.55,764.69,689.39,574.62,668.72,597.06,449.56,218.96,266.85,228.03,206.17,191.62
109,77.60,72.75,83.68,151.60,236.54,410.11,394.28,420.38,429.53,463.93,353.03,383.98,490.22,651.74,761.65,725.82,574.61,666.31,584.93,463.52,220.76,247.44,234.09,209.81,186.79
110,72.75,60.02,83.67,146.14,250.48,387.61,411.92,429.53,448.35,428.29,340.30,397.36,478.10,635.95,752.55,691.80,574.02,671.16,597.08,456.84,214.11,256.56,233.51,232.90,198.92
111,81.24,69.11,87.30,160.09,239.55,399.17,423.46,411.92,458.67,422.83,355.46,337.24,497.52,601.82,804.79,678.46,577.66,672.39,537.59,458.67,226.84,254.73,229.85,223.77,173.43
112,80.64,74.57,84.88,161.91,220.16,405.21,420.42,408.88,428.30,424.09,322.70,387.01,490.82,610.45,756.81,680.25,581.30,650.52,575.22,478.71,215.91,285.08,237.14,205.56,206.81
113,72.75,72.15,85.48,143.10,254.12,388.85,412.51,403.44,425.29,427.11,387.65,391.89,441.03,640.19,739.19,685.76,586.77,663.89,576.93,483.58,230.48,283.84,232.28,211.05,189.83
114,71.54,76.39,86.70,144.31,236.52,390.05,408.26,441.65,462.32,410.10,352.40,353.03,506.64,597.08,750.12,708.80,578.86,664.48,574.01,433.18,220.77,267.46,254.72,218.32,171.02
115,80.63,75.79,89.74,153.42,236.53,385.81,419.21,397.96,428.28,410.09,367.60,376.10,493.24,647.48,720.98,697.27,584.33,632.90,595.24,445.93,227.45,258.36,220.15,209.83,180.72
116,72.75,58.80,92.76,155.85,243.80,409.46,435.60,411.91,444.67,425.91,346.37,396.74,517.57,614.69,713.07,720.36,536.96,643.23,553.95,461.72,249.91,255.94,228.64,205.58,178.88
117,61.23,62.44,84.88,149.77,248.07,393.70,434.99,394.32,417.35,436.81,363.35,337.25,508.43,623.79,747.08,686.33,555.78,642.01,572.80,421.02,231.09,235.31,238.95,200.11,175.24
118,86.09,70.94,82.45,151.00,243.20,414.33,429.52,411.32,439.23,409.51,343.30,362.12,463.51,577.63,754.86,704.57,587.36,659.63,595.28,458.66,243.23,263.20,226.18,216.49,203.15
119,76.39,60.01,87.31,141.89,245.63,387.02,479.93,377.32,431.31,400.40,350.61,357.90,456.22,594.63,752.54,706.98,583.10,640.20,560.05,456.85,239.57,269.90,218.93,185.55,192.25
120,70.33,57.59,86.10,144.32,271.11,387.63,420.43,390.68,414.35,410.09,367.01,363.96,503.57,624.39,722.78,649.29,584.95,655.38,580.68,454.41,217.74,250.49,224.39,200.72,184.95
121,58.19,72.75,76.40,137.65,245.01,374.28,468.98,399.18,442.88,422.84,346.36,360.93,504.77,623.81,736.77,675.42,550.94,685.72,588.58,482.97,218.97,255.33,246.22,185.55,171.00
122,74.57,63.05,81.24,123.08,262.63,379.13,390.08,393.70,434.98,421.00,365.16,403.41,506.01,609.23,728.84,699.09,592.22,655.39,573.41,435.62,228.66,243.19,221.35,196.48,190.42
123,79.42,68.51,87.31,133.40,260.80,403.41,433.17,407.07,412.52,422.23,348.81,370.04,467.18,621.98,748.91,713.66,614.11,679.67,591.03,492.08,225.62,246.83,220.14,194.65,186.78
124,80.64,55.17,90.34,130.37,266.88,387.64,436.80,396.15,437.39,439.83,355.48,402.15,494.47,616.52,756.80,688.79,575.21,652.94,579.47,490.87,228.06,254.14,238.95,179.48,172.20
125,70.93,65.47,87.30,149.17,258.36,415.53,405.23,425.28,406.44,433.16,339.07,398.54,518.15,642.63,760.47,697.86,551.54,656.62,565.50,479.92,237.14,248.66,241.98,203.76,183.76
126,80.64,62.44,83.67,149.16,258.98,382.78,447.72,386.43,417.38,450.17,326.96,346.96,491.43,632.91,751.95,677.82,553.95,657.20,586.76,455.03,244.45,255.92,223.18,198.30,186.79
127,86.70,70.33,90.95,149.18,234.73,357.28,431.34,412.53,427.70,431.33,356.07,362.15,492.67,655.37,775.01,677.23,549.73,648.71,575.23,469.01,242.02,234.09,221.35,199.51,192.26
128,81.85,69.12,74.57,144.31,241.38,393.10,408.87,422.24,413.11,425.89,363.96,370.04,452.60,618.35,745.27,692.41,523.62,672.36,562.47,502.37,234.73,249.86,207.40,195.27,177.07
129,63.05,55.17,87.90,144.32,242.59,390.05,421.02,407.67,417.38,414.34,343.95,357.27,479.28,621.36,779.90,699.11,561.87,649.90,570.97,448.33,232.33,268.68,209.22,214.70,184.97
130,76.38,63.65,89.13,155.23,236.53,406.43,427.69,376.10,403.39,418.60,346.39,377.90,484.15,600.10,775.63,676.64,570.36,679.05,601.92,463.53,242.01,243.78,229.23,203.77,195.89
131,88.52,67.29,73.97,151.60,268.08,387.62,392.51,365.77,433.77,396.13,370.66,362.76,490.84,581.31,765.92,716.07,569.76,677.23,570.37,455.02,216.52,240.78,228.02,206.79,190.42
132,72.75,76.39,95.18,143.11,237.72,397.34,412.52,384.59,427.09,418.57,348.17,354.23,476.86,618.35,790.20,671.14,581.30,619.57,570.98,501.17,233.51,226.80,224.39,187.38,207.42
133,73.36,53.35,78.82,129.16,250.48,386.42,407.04,395.55,442.25,421.02,366.97,357.28,494.48,634.73,764.09,679.65,560.03,648.72,578.26,421.64,241.42,263.21,232.88,217.73,185.57
134,60.62,75.79,79.42,141.29,245.63,376.71,431.34,428.91,427.07,462.30,344.53,359.70,484.17,625.63,768.83,665.71,565.51,682.72,567.95,479.92,228.05,245.02,231.07,187.99,202.57
135,75.78,77.60,83.06,132.79,257.15,366.39,413.72,418.59,435.59,414.95,347.57,376.70,515.11,659.50,733.14,664.47,591.01,647.47,564.88,476.89,236.54,255.32,231.67,195.25,179.51
136,80.03,64.27,91.56,153.42,260.19,399.16,434.39,393.71,432.56,426.49,356.69,407.06,489.01,640.82,722.19,677.85,574.61,639.59,572.17,495.09,226.23,265.66,235.92,199.51,194.07
137,86.09,66.68,95.20,128.56,257.16,395.53,390.05,397.95,399.17,408.27,368.83,373.06,496.90,623.21,758.63,656.57,550.31,678.45,583.13,476.29,248.07,265.65,221.36,209.83,173.46
138,69.11,72.15,80.02,140.06,217.72,385.79,450.77,386.43,445.27,420.40,351.23,375.49,547.28,645.05,722.68,682.71,554.57,694.26,563.70,478.72,229.27,249.87,240.76,187.99,195.29
139,86.70,66.69,83.67,152.82,237.13,403.41,413.13,404.02,444.72,435.60,365.18,379.73,484.16,644.45,748.31,689.38,532.13,657.20,600.13,477.50,218.35,245.02,218.94,198.28,186.18
140,65.48,69.72,74.57,148.55,227.43,391.86,414.35,400.97,419.81,433.17,351.81,365.18,490.24,649.92,754.37,664.47,535.15,671.15,583.11,442.89,216.52,248.05,240.75,222.56,196.50
141,79.42,60.01,80.03,145.52,249.88,387.01,398.57,399.79,408.89,423.45,339.69,362.16,492.67,620.14,768.96,712.47,563.70,648.72,592.84,456.88,230.49,252.90,237.75,191.01,181.31
142,75.17,59.41,83.66,163.73,272.95,413.74,401.60,411.31,422.83,419.22,356.06,369.40,507.24,659.02,751.93,658.39,564.31,654.17,597.67,466.58,220.78,271.71,221.37,204.35,205.01
143,88.51,73.96,84.27,157.66,243.17,364.55,428.92,410.11,415.57,427.10,367.00,395.51,502.97,673.61,789.50,691.22,577.67,643.26,606.22,482.36,229.87,246.22,238.94,202.54,200.75
144,70.93,66.69,84.27,143.71,263.21,354.84,428.89,411.31,451.98,442.87,353.06,376.69,510.88,665.11,776.22,737.36,547.91,632.91,573.41,473.25,220.77,251.08,207.40,211.04,201.38
145,88.52,72.15,89.73,141.89,235.31,377.31,416.80,410.71,447.74,428.91,352.43,359.72,505.42,682.71,832.72,708.20,600.73,668.13,604.38,492.07,239.59,256.54,235.92,194.66,196.50
146,68.51,66.68,80.02,145.53,240.78,421.01,429.52,394.92,430.74,453.19,357.90,370.63,493.24,680.90,768.94,702.14,584.95,679.06,608.03,492.69,241.40,229.23,238.35,188.58,201.95
147,83.68,70.93,81.24,143.71,240.79,399.16,397.35,416.79,425.88,451.39,342.72,372.46,510.88,665.70,795.66,672.36,602.54,674.19,626.84,456.24,231.09,249.86,225.60,209.83,176.48
148,78.21,75.17,83.06,149.77,247.45,430.73,399.78,413.73,422.87,464.13,387.01,379.14,495.09,648.10,747.09,702.74,558.21,670.56,584.95,458.07,233.52,265.03,217.09,197.68,200.75
149,77.60,54.56,89.73,140.07,245.62,386.43,378.53,408.90,415.55,425.89,351.20,369.42,471.40,683.32,733.71,718.52,576.44,672.39,597.08,473.26,222.59,232.86,238.95,209.23,181.92
150,84.28,67.29,80.03,150.38,274.14,394.91,425.26,413.15,454.43,456.84,356.68,372.44,518.76,693.05,767.63,662.65,580.70,648.67,572.81,465.35,209.85,250.47,228.03,204.97,220.78
151,69.12,69.11,77.60,163.12,247.43,391.26,431.33,419.21,417.98,450.78,373.06,358.49,528.49,708.20,796.27,716.10,575.82,657.18,567.32,491.46,215.31,279.61,220.76,212.26,204.98
152,66.69,68.50,78.82,146.14,237.75,374.87,416.76,377.95,468.98,426.50,365.19,376.72,462.91,649.30,774.43,668.11,584.33,668.11,594.07,476.27,233.53,266.85,221.36,198.90,184.97
153,69.11,59.40,73.97,133.39,271.10,402.80,434.38,386.41,414.34,424.04,362.13,383.99,519.97,659.01,769.44,704.56,573.40,660.83,551.55,484.76,210.45,226.22,216.49,195.27,195.89
154,83.05,63.66,77.61,150.38,226.82,441.65,419.20,392.52,415.56,431.35,376.11,363.96,499.93,649.29,788.99,685.74,567.94,671.78,592.83,415.57,239.57,286.28,236.51,208.62,195.30
155,72.75,60.62,81.84,132.79,243.80,377.91,434.37,394.33,438.64,404.01,366.39,377.92,500.54,674.18,805.40,711.24,578.85,684.53,595.26,459.27,226.84,238.95,220.13,184.33,200.75
156,85.49,61.84,84.27,157.67,250.49,428.89,431.93,414.35,428.92,405.84,324.51,380.35,509.06,628.05,738.60,691.19,591.62,645.64,564.89,478.72,240.79,229.24,215.90,198.31,191.66
157,68.51,60.62,96.40,141.89,230.46,405.23,415.58,425.88,412.54,441.67,343.92,374.27,487.20,676.64,779.28,695.47,595.25,679.06,602.55,479.32,252.32,262.01,209.22,194.04,212.25
158,72.14,64.86,78.81,144.92,254.74,388.85,417.38,416.18,426.49,414.97,353.04,392.51,523.63,673.59,764.69,737.35,570.97,688.17,596.47,502.40,236.55,254.73,237.12,206.18,182.53
159,81.85,66.68,83.06,127.93,253.51,395.52,414.34,412.53,446.52,425.89,373.67,363.96,497.52,648.10,767.13,712.46,564.28,648.10,580.10,458.07,206.21,239.55,208.00,195.86,201.95
160,80.65,70.94,81.23,156.45,239.57,384.61,428.32,391.88,410.70,439.83,377.30,389.43,517.53,686.35,778.66,666.89,605.58,671.18,610.45,473.24,225.63,251.07,217.12,200.11,174.04
161,76.39,58.80,78.20,128.54,254.73,404.59,426.49,393.70,471.41,410.10,368.23,356.71,470.82,666.91,806.36,741.63,575.83,669.97,578.90,489.65,233.51,239.54,246.24,184.35,178.30
162,57.60,63.66,72.75,129.76,254.73,382.16,381.55,424.66,410.09,442.28,356.67,361.53,519.97,655.38,796.26,714.91,566.75,683.32,571.58,475.08,221.97,257.13,235.90,198.30,191.05
163,82.46,69.11,91.55,150.38,248.04,389.45,433.16,408.89,465.34,427.08,370.64,368.81,490.84,634.12,787.16,682.70,608.61,696.08,576.44,451.41,225.65,252.30,232.27,194.04,189.83
164,84.89,69.11,80.63,152.81,235.93,427.11,441.65,388.27,419.82,433.15,369.40,358.50,494.48,677.24,762.89,739.15,600.13,702.75,580.69,513.32,211.67,241.98,241.96,205.58,164.35
165,73.35,55.17,83.66,142.50,235.92,417.36,407.08,400.39,427.69,425.27,319.05,372.45,509.03,682.05,759.25,736.14,618.95,664.49,597.71,471.43,218.96,268.07,211.04,201.93,180.72
166,72.75,72.14,93.96,144.32,228.03,393.09,400.99,416.17,402.80,402.18,378.54,363.97,501.76,669.36,810.87,686.35,570.96,683.92,572.19,450.17,217.73,248.64,235.91,185.57,176.48
167,59.41,64.25,86.69,146.74,245.02,390.66,424.65,409.48,444.09,453.21,353.02,365.16,513.90,639.58,770.77,702.76,617.12,677.25,620.15,453.19,219.57,258.95,227.40,184.35,193.46
168,73.97,63.65,82.46,141.28,262.00,408.85,442.26,427.10,421.02,423.43,353.03,350.59,516.34,631.07,772.60,674.18,567.93,643.23,616.55,471.42,219.56,270.49,208.01,197.71,181.93
169,77.00,67.30,83.67,135.82,247.45,377.32,420.41,414.95,428.92,411.34,343.33,388.83,515.73,656.01,775.61,679.06,584.94,721.58,607.41,464.15,230.48,263.19,226.81,195.87,197.10
170,64.87,58.20,80.63,157.05,250.48,390.66,424.06,403.42,444.09,419.82,342.72,374.87,495.07,703.35,799.33,698.50,602.53,688.17,587.39,439.86,212.27,267.47,238.34,201.94,211.06
171,81.24,61.83,74.57,138.25,238.35,387.64,442.14,383.99,444.08,419.21,371.84,343.32,525.44,679.65,805.99,672.36,575.85,710.02,596.48,439.84,229.89,243.20,221.34,177.05,189.82
172,82.45,55.77,90.96,146.14,234.08,402.80,433.77,412.53,395.53,426.50,359.71,353.05,491.44,671.16,829.68,733.11,598.90,702.74,581.90,469.62,209.86,246.23,254.73,228.05,190.43
173,70.33,72.75,89.74,144.92,243.19,378.52,421.02,397.97,430.73,428.93,351.21,366.40,506.61,688.76,765.93,708.82,603.16,649.90,583.71,482.96,225.02,268.07,228.03,188.59,178.30
174,74.57,64.26,81.85,144.31,265.06,391.90,410.69,407.06,420.40,393.11,337.84,346.35,547.30,631.08,779.26,682.10,557.60,688.18,593.44,467.17,230.48,234.69,210.43,189.80,181.94
175,74.58,58.80,98.83,155.84,262.01,392.48,425.87,436.81,418.60,444.68,357.28,371.24,492.04,651.74,798.11,713.08,612.26,673.59,591.60,459.28,218.35,233.47,247.45,192.83,175.86
176,85.49,65.48,80.03,126.72,233.48,409.49,388.24,414.94,404.03,424.65,351.21,370.04,519.98,660.84,792.51,748.31,594.05,651.74,619.55,472.62,214.09,246.85,248.05,203.76,159.48
177,77.00,70.93,77.59,136.43,241.39,399.79,417.37,394.32,410.70,431.95,356.69,371.84,487.79,680.29,764.08,741.60,601.93,626.83,587.37,501.78,241.41,230.44,215.28,203.75,175.86
178,73.97,67.29,76.99,148.57,260.79,410.11,403.42,388.23,417.99,411.32,327.54,381.55,481.71,655.98,770.65,690.60,590.39,637.15,598.29,454.43,214.11,238.94,228.62,198.91,172.83
179,72.76,54.56,83.06,137.04,240.16,392.49,453.81,381.59,446.53,412.53,334.24,367.60,496.27,677.24,770.78,704.56,585.54,680.28,573.99,491.45,225.63,235.90,209.23,191.62,159.47
180,81.85,64.88,97.01,151.60,256.53,386.41,425.87,363.38,405.23,410.72,344.55,377.92,519.36,632.31,781.70,704.57,629.27,676.63,600.70,477.50,233.53,256.53,208.62,201.93,188.01
